,text,label
8,"Neither the Ukrainian government nor the parliament has ever announced its withdrawal from the Minsk agreements
Foreign Minister Dmytro Kuleba has consistently emphasized that Ukraine is not renouncing the Minsk agreements. President of Ukraine Volodymyr Zelensky has never said that the Minsk agreements are invalid. Moreover, in December 2021, he announced that Ukraine had developed a 10-step plan for the implementation of the Minsk Agreements and passed it on to the United States, Germany, France and Russia.
The Ukrainian law on the reintegration of Donbas, adopted in 2018, does not mention the Minsk agreements at all, especially the refusal to comply with them.
It (the Law “On the peculiarities of state policy to ensure the state sovereignty of Ukraine in the temporarily occupied territories of Donetsk and Luhansk regions”) states that Ukraine was attacked by Russia, which is the aggressor and occupier, and the part of the Donbas is occupied by it. And the illegal armed groups “LPR” and “DPR”, which actually control the occupied territories, are “representatives of the occupation administrations of Russia.” The law does not contradict the provisions of the Minsk agreements. But, of course, Russia cannot like it, hiding its participation in the war in Donbas.
Ukraine did not report withdrawing from the Minsk agreements shortly before Russia’s full-scale attack.
Propaganda resources misrepresented the content of the quote from Oleksiy Arestovych, an adviser to the head of the President’s Office. After the meeting of Volodymyr Zelensky and Joe Biden in September 2021, Arestovych told one of the Ukrainian TV channels that the parties had agreed on the possibility of modernizing the Minsk agreements. And he addressed the head of the Russian Foreign Ministry Sergei Lavrov with the words: “Mr. Lavrov, my best regards to you: we are off the hook of the Minsk agreements.” Shortly before that, Lavrov said that “Russia will not allow Zelensky and Ukraine to” get off the hook of the Minsk agreements“.
Later, Oleksiy Arestovych said that “the Minsk agreements haven’t vanished”, the parties did not announce their withdrawal. He spoke only about the interpretation of the agreements required by Russia: “Well, the news for Lavrov is that the hook of the Minsk agreements no longer exists. Nor the Minsk agreements, namely the hook of the Minsk agreements, that is, the Russian version of their interpretation, which they tried to impose on us and the world community“.
In fact it is Russia, which does not fulfill most of the statements of the Minsk agreements This was the reason for the EU extending sanctions against Russia in January 2022. Russia blocks OSCE observers from accessing certain areas and does not provide humanitarian aid through international mechanisms. Russia does not comply with the security provisions of the Minsk agreements: a ceasefire, complete withdrawal of pro-Russian militants and Russian weapons from Ukraine.
At the same time, Russia claims that it is not a party in the Minsk agreements and is not mentioned in the text. But these documents were signed by Russia’s representative Mikhail Zubarov.
Russia is trying to force Ukraine to implement “Minsk” on its own terms. First, Ukraine must adopt a special status for Donbas, which will give the region significant privileges and put the rest of Ukraine’s regions in an unequal position. Second, Ukraine must agree to regain control of the occupied territories only after local elections are held there. But these elections must be held in compliance with Ukrainian law, which is impossible under the conditions of the actual occupation of these territories. In addition, in recent years, more than 600,000 Ukrainians in the occupied territories have received Russian passports. At the same time, the number of temporarily displaced people, mostly from ORDLO, is 1.4 million, and most of them will not be able to take part in the elections.",0
9,"Ukraine sees NATO as a means of preventing Russia’s further aggressive actions. However, no one has turned Ukraine into a “NATO base” yet. There are no NATO troops or military infrastructure on Ukraine’s territory. Military cooperation between Ukraine and NATO is limited to assisting with Ukrainian reforms, consultations, exchanging experiences among the military, and participation of Ukraine’s armed forces units in NATO operations or exercises.
Supplying arms to Ukraine is not done at the NATO level but at the level of individual countries. Ukraine receives particularly significant assistance from the United States and the United Kingdom. These countries began to supply lethal weapons to Ukraine precisely against the backdrop of Russian aggression. In other words, Russia forced Western governments to strengthen Ukraine’s defense capabilities.",0
10,"Speaking about the economic blockade, the propagandists mean the broken social and economic relations between Ukraine and Crimea and some districts of the Donetsk and Luhansk regions, i.e., the temporarily occupied territories. Ukraine allegedly has robbed its citizens of the opportunity to meet their basic needs.
However, the propaganda cliches are contrary to international law. According to it, the occupying power must ensure the safety of civilians, including by providing them with access to water, food, and medical care. In the case of Ukraine, Russia is the occupier and, therefore, fully responsible for everything happening in the occupied territories.
As for freedom of speech, Ukraine is not a model liberal democracy, but it has shown progress in respect for human rights in recent years. For instance, Ukraine ranked 97th out of 180 in the World Press Freedom Index compiled by Reporters Without Borders. That is 30 ranking positions higher than in 2014. According to Freedom House, Ukraine scored 60 out of 100 points in 2021 for protecting civil liberties and political rights. In 2014, the country had only 35 points. These indicators are higher for Ukraine than for many post-Soviet countries, e.g., Russia, Belarus, Kazakhstan, Azerbaijan, etc.
Analyzing the reports by international organizations, we can see that there are still problems in Ukraine, such as pressure and attacks on journalists and human rights activists, hate speech against various groups, and oligarchs’ influence on the media. However, Ukraine cannot be considered an authoritarian country where all civil and political freedoms are suppressed.
With Ukrainian being the only state language, Ukraine does not deprive national minorities of their right to speak their native languages. Ukrainians are free to use any language in everyday life. National minorities can use their mother tongue to teach in pre-school and primary education institutions (alongside Ukrainian). They can continue studying their native language at the next education level, but they will use Ukrainian in general education.",0
11,"First, the events of 2014 in Ukraine are not a coup d’etat. Allegations of a coup in central Kyiv are typical for the Kremlin’s rhetoric, which justifies its own aggression.
A coup d’etat is an unconstitutional seizure of power by a small group of individuals, conspirators acting in their own interests. The revolution of dignity began with peaceful protests by unarmed people in support of democratization, which the authorities tried to suppress by force, forcing them to use self-defense, and was massive. You can read more about why the Revolution of Dignity is not a coup d’etat in VoxCheck material “Maidan in 2014 is a state coup: overview of Italian and German pro-Russian Media”.",0
12,"Russia was the first to mobilize its troops to Ukraine’s borders – without any threat from Ukraine
In December 2021, Russian politicians, including President Putin and Russian Foreign Ministry spokeswoman Maria Zakharova, claimed that Ukraine had moved half of its army (or 120,000 to 125,000 troops) to the war zone. They did not release any confirmation of the mentioned data.
Data on the number of the Armed Forces of Ukraine are regularly published on the website of the Ministry of Defense of Ukraine. The information is also available in the passports of budget programs exposed for public access. In December 2021, there were more than 201,000 servicemen in the Armed Forces. Just over 40,000 of them took part in the Joint Forces Operation (JFO). That is three times less than what was said in Russia. For comparison, in February 2021, just over 40,000 servicemen took part in the Joint Forces Operation (JFO). Almost a year before, in May 2020 there had been the same number – 40 thousand.
The number of Ukrainian servicemen in Donbas did not increase. Instead, in October-November 2021, Russia, according to various estimates, drew about 100,000 troops to Ukraine’s borders. There is no evidence, in particular from independent observers, that Kyiv was going to attack Donbas
In the autumn of 2021, Russia once again declared that Ukraine was preparing for the “offensive in Donbas.” The Ministry of Foreign Affairs of the Russian Federation announced offensive actions of the Armed Forces in the area of Granitny and Staromaryivka (Donetsk region), referring to the reports of the OSCE Special Monitoring Mission in Ukraine. This is not true: the Mission’s daily reports did not mention this. Instead, OSCE SMM reports during this period revealed the systemic restrictions on freedom of movement in the temporarily occupied territories (for example, here), blocking of communications and surveillance (here), threats to the personal security of international observers by Russian armed forces (here)
The Armed Forces of Ukraine do not open fire first and do not shell civilians and infrastructure in Donbas
The Ukrainian Armed Forces first used the Turkish Bayraktar drone in October 2021. The parties have banned the use of UAVs in the context of a truce signed in July 2020 within the Tripartite Contact Group. The first paragraph states a “ban on the use of any type of aircraft.” But there is also a ban on any “use of fire, including sniper fire” – and this point is constantly being neglected by the Russian occupation forces.
Bayraktar was used as a last resort. The militants fired from 122-mm howitzers prohibited by the Minsk agreements on civilian targets and positions of the Armed Forces near Granitny in the Donetsk region for several days. In addition, Russian mercenaries dropped explosive devices with the help of an unmanned aerial vehicle.
The militants did not stop the shelling even after the Ukrainian side used a standard response mechanism: the OSCE SMM called for a ceasefire. And under the terms of the July 2020 truce, retaliatory fire is allowed in the event of a failed response. Ukraine did not violate the Minsk agreements: Bayraktar did not cross the contact line, the howitzer was destroyed by a guided missile.
In addition, the first drones in Donbas were, in fact, used by militants: Russian UAVs “Orlan-10” have long been recorded in Donbas.
The West did not “pump Ukraine with weapons”, but provided weapons to repel a possible Russian attack
The bulk of the weapons received by Ukraine are anti-tank systems (NLAW, Javelin), which make little sense in the event of the attack of the Armed Forces on uncontrolled territories, but are necessary in the event of an attack by armored vehicles from the Russian Federation.
Russia has been supporting separatists in Donbas since 2014, supplying them with modern weapons, heavy weapons, troops and training. This has been repeatedly confirmed by NATO, Ukrainian and American intelligence",0
13,"Russian propaganda was spread in the churches of the Moscow Patriarchate, so during the war with Russia the independent church was a matter of security and sovereignty of Ukraine. It is incorrect to claim that Petro Poroshenko decided to divide the Orthodox Church. It is not a wish of the state leadership but a forced step for the sake of national security.",0
14,"The Minsk agreements were concluded as a result of the Ukrainian army defeats in 2014-2015, so they cannot be considered beneficial for Ukraine. Conditionally, the Minsk provisions can be divided into security and political parts.
Security
Security includes a ceasefire, withdrawal of heavy weapons, exchange of prisoners, access to humanitarian aid.
Russia has not yet ensured its implementation. Nor has it set into action the measures to strengthen the ceasefire since July 2020. The US Mission to the OSCE emphasizes that Russia has not fulfilled any of its responsibilities: it has not stopped firing, has not withdrawn its heavy weapons from restricted areas, and has not provided unimpeded access for OSCE SMM observers. In addition, according to US Secretary of State Anthony Blinken, Russia has not implemented an all-for-all exchange, has not provided humanitarian aid through international mechanisms, has not allowed socio-economic ties to be restored and has not fulfilled a bunch of other points.
Political part
First, the agreements themselves do not clearly specify the procedure for implementing the provisions. Therefore, Russia cannot claim that Ukraine must first fulfill the political part – to adopt a special status for Donbas and hold local elections.
Secondly, Russia claims that Ukraine should give Donbas autonomy. Whereas in Minsk it is only a matter of “special status” – not autonomy.
The special status for Donbas will give the region significant privileges and make the rest of the regions be in an unequal position. Ukraine must also agree to regain control of the occupied territories only after local elections. These elections must be held under Ukrainian law, which is impossible due to the actual occupation of these territories. In addition, in recent years, Russia has issued its passports to more than 600,000 Ukrainians in the occupied territories. At the same time, the number of temporarily displaced people, most of whom left ORDLO, is 1.4 million. And most of them will not be able to vote in the election. As a result, Russia has significantly changed the situation in the ORDLO and stepped up its intervention.",0
15,"The activation of Ukraine’s cooperation with other countries in the military sphere was not the cause but the consequence of Russia’s very real armed aggression. No matter how much Russia justified its actions, in 2014 it was it that started the war in eastern Ukraine and occupied Crimea. It was Russia that systematically violated the Minsk agreements during the 8 years of the hybrid war.
NATO, in turn, has repeatedly stated that it will not send troops to Ukraine in the event of a Russian attack. All members of the Alliance confirmed at the Brussels Summit in June 2021 that “the Alliance does not seek confrontation and does not pose a threat to Russia.”
In January 2022, amid Russia’s disinformation about the border situation, the US Secretary of State’s Office issued a disproof, including on NATO’s plans. NATO did not surround Russia and did not plan to deploy Allied forces in the eastern part of the Alliance until Russia’s illegal occupation of Crimea. Multinational battle groups in the Baltic states and Poland were deployed in 2016 in response to Russia’s use of military force against its neighbors. These forces are rotational, defensive and proportional. NATO enlargement is not directed against Russia. Each sovereign state has the right to choose its own security mechanisms and to join regional defense alliances for self-defense. This is a fundamental principle of European security, reflected in the UN Charter, and one that Russia has reaffirmed in many international and regional instruments, such as the Helsinki Final Act.",0
16,"Such statements are unfounded. The Ukrainian authorities are independently responsible for their domestic and foreign policy. Western countries support us, but do not force us to make any changes.
In addition, VoxCheck has already refuted the fake about Soros’s statements about his own earnings during the war in Ukraine and the benefits of it from Europe. George Soros did not make such statements, but instead called on the EU to provide financial support to Ukraine, as Russia’s attack on Ukraine threatens the security of the whole Europe.",0
17,"Ukraine is a strategic partner for both the EU and the United States. Since the beginning of Russia’s armed aggression in 2014, the United States and the European Union have consistently supported Ukraine’s territorial integrity and state sovereignty. This support continues within economic, political, and diplomatic frameworks, where security and defense are key.
Ukraine, like many other countries, depends on relations with other states and international organizations. However, this is a mutually beneficial cooperation. For example, in cooperation with the IMF, Ukraine is carrying out economic reforms necessary for further development. VoxCheck wrote in detail about cooperation with the IMF in the article “International Monetary Fund: Evil Corporation or saving the economy in a crisis?”.
Assistance provided by the European Union is aimed at developing the economy, public administration, civil society, promoting energy efficiency and protecting the environment in Ukraine. We have already refuted the myths of Russian propaganda about the Association of Ukraine with the EU – “Геть від Євросоюзу”. Російська дезінформація сьомий рік демонізує Угоду про асоціацію між Україною та ЄС”.",0
18,"Ukraine did not steal Russian gas. Similar accusations were made by the Russian side in the 1990s, in 2008 during the gas conflicts, and in 2014. In the latter case, Russia later admitted that the alleged withdrawal of Russian gas from Ukraine was a technical oversight.
But Russia is stealing Ukrainian gas. From 2014 to 2020, Russia extracted from deposits in the occupied territories belonging to Ukraine 12 billion cubic meters of gas.",0
19,"U.S. intelligence and independent investigators like Center for Information Resilience and Conflict Intelligence Team warned of the dangerous concentration of Russian troops near the Ukrainian border in late 2021 and early 2022. Evidence of preparations was the Kremlin’s intercepted intelligence plans, a continual build-up of troops at the border with additional personnel and equipment, and the troops’ gradually getting closer to Ukraine’s borders. Troops were concentrated not only in places of permanent deployment but also directly near the border, less than 50 km from Ukraine’s territory. Meanwhile, Russian and Belarusian rhetoric had become increasingly aggressive toward Ukraine.",0
20,"The law on indigenous peoples, like the law on language, is perhaps the most discredited on pro-Russian resources. At the same time, it is commented just in the Russian narrative.
According to the definition in the law, indigenous people are “autochthonous ethnic community formed on the territory of Ukraine, bearer of original language and culture, having traditional, social, cultural or representative bodies, have the self-awareness of the indigenous people of Ukraine, constitute the ethnic minority in its population and does not have its own state entity outside Ukraine”. Among the indigenous peoples are those peoples who were formed on the territory of Crimea – the Crimean Tatars, Karaites, and so on.
Russians cannot be the indigenous people of Ukraine: they have their own state formation outside our country. However, this does not mean that they will be deprived of basic rights in the state.",0
21,"Not all Donbas residents were against European integration or the democratically elected Ukrainian government in 2014. Euromaidan rallies also occurred in the now occupied Donetsk, where activists rallied for three months. The city’s largest rally took place on March 13, 2014, but it was brutally dispersed. Thousands of civilians had come out to support Ukraine (according to eyewitnesses, 10,000 people rallied in Donetsk). pro-Russian activists staged the massacre and killed 22-year-old activist Dmytro Cherniavskyi during the assault. Official figures said another 36 people were injured. Eyewitnesses said there were more victims.
Evidence of Russian troops and military equipment in Donbas is plentiful, particularly from independent international observers. Read a detailed refutation in the article ""Russia is not an aggressor against Ukraine: a review of Italian and German pro-Russian media"".",0
22,"NATO-Ukraine relations and Ukrainians’ support or the Euro-Atlantic course reached new highs only after 2014, the year of Russia’s aggression in Crimea and Donbas. Ukraine sees NATO as a means of preventing Russia’s further aggressive actions.
However, no one has turned Ukraine into a “NATO base” yet. There are no NATO troops or military infrastructure on Ukraine’s territory. Military cooperation between Ukraine and NATO is limited to assisting with Ukrainian reforms, consultations, exchanging experiences among the military, and participation of Ukraine’s armed forces units in NATO operations or exercises.
Supplying arms to Ukraine is not done at the NATO level but at the level of individual countries. Ukraine receives particularly significant assistance from the United States and the United Kingdom. These countries began to supply lethal weapons to Ukraine precisely against the backdrop of Russian aggression. In other words, Russia forced Western governments to strengthen Ukraine’s defense capabilities.",0
23,"Not all Donbas residents were against European integration or the democratically elected Ukrainian government in 2014. Euromaidan rallies also occurred in the now occupied Donetsk, where activists rallied for three months. The city’s largest rally took place on March 13, 2014, but it was brutally dispersed. Thousands of civilians had come out to support Ukraine (according to eyewitnesses, 10,000 people rallied in Donetsk). pro-Russian activists staged the massacre and killed 22-year-old activist Dmytro Cherniavskyi during the assault. Official figures said another 36 people were injured. Eyewitnesses said there were more victims.
Evidence of Russian troops and military equipment in Donbas is plentiful, particularly from independent international observers. Read a detailed refutation in the article Russia is not an aggressor against Ukraine: a review of Italian and German pro-Russian media.",0
24,"When the threat of a full-scale Russian invasion of Ukraine’s territory began to increase, the United States stood with Ukraine. Joe Biden has repeatedly expressed the United States’ unwavering support for Ukraine’s sovereignty and territorial integrity in the face of Russia’s ongoing aggression in Donbas and Crimea.
From 2014 to January 2022, the EU provided Ukraine with around €17 billion in grants and loans, of which €9.6 billion in financial support came from the European Investment Bank and the European Bank for Reconstruction and Development. Also, from 2014 to 2021, the United States provided more than $2.5 billion in security assistance.",0
